Marker position ,,,Robot position ,,,Map correction 
x,height,y,x,y,theta,percent
-0.19,0.341,0.161,3.695,5.015,1.555,82.989
-0.103,0.34,0.197,3.755,5.082,1.491,84.827
-0.1,0.34,0.24,3.763,5.079,1.555,84.797
-0.099,0.34,0.215,3.762,5.078,1.548,86.192
-0.106,0.34,0.207,3.75,5.072,1.548,85.776
-0.088,0.341,0.208,3.749,5.081,1.547,85.99
-0.173,0.341,0.192,3.732,5.041,1.553,85.288
-0.098,0.341,0.064,3.617,5.109,1.418,85.653
-0.146,0.341,0.124,3.644,5.04,1.412,84.892
-0.178,0.342,0.094,3.635,5.024,1.414,84.611
-0.172,0.342,0.097,3.646,5.027,1.419,85.438
-0.161,0.342,0.093,3.635,5.056,1.416,85.447
-0.153,0.341,0.105,3.633,5.044,1.416,85.183
-0.15,0.342,0.107,3.635,5.056,1.404,85.064
-0.185,0.342,0.122,3.655,5.02,1.419,85.547
-0.162,0.342,0.102,3.639,5.042,1.419,85.844
-0.198,0.342,0.09,3.626,5.032,1.415,87.46
-0.164,0.342,0.1,3.634,5.049,1.401,85.783
-0.164,0.342,0.119,3.639,5.029,1.414,85.175
-0.164,0.342,0.114,3.634,5.036,1.414,85.852
-0.136,0.342,0.081,3.604,5.083,1.416,86.472
-0.168,0.342,0.125,3.632,5.046,1.416,85.318
-0.204,0.342,0.096,3.642,5.045,1.414,85.211
-0.054,0.341,0.073,3.626,5.138,1.418,85.89
-0.155,0.342,0.092,3.63,5.049,1.415,85.601
-0.143,0.342,0.065,3.612,5.08,1.415,85.577
-0.139,0.342,0.115,3.649,5.045,1.414,85.167
-0.191,0.342,0.092,3.631,5.039,1.418,86.116
-0.169,0.342,0.088,3.632,5.041,1.419,85.608
-0.165,0.341,0.107,3.648,5.045,1.419,85.866
-0.105,0.342,0.057,3.596,5.105,1.418,85.008
-0.156,0.342,0.115,3.643,5.063,1.41,84.916
-0.165,0.342,0.122,3.645,5.037,1.411,84.897
-0.178,0.342,0.105,3.635,5.041,1.408,85.503
-0.155,0.342,0.087,3.63,5.045,1.415,85.441
-0.166,0.342,0.129,3.641,5.051,1.417,85.104
-0.299,0.338,-0.034,3.64,5.052,1.419,85.045
-0.166,0.342,0.123,3.652,5.036,1.412,85.128
