x,y,theta
3.695,5.015,1.555
3.755,5.082,1.491
3.763,5.079,1.555
3.762,5.078,1.548
3.75,5.072,1.548
3.749,5.081,1.547
3.732,5.041,1.553
3.617,5.109,1.418
3.644,5.04,1.412
3.635,5.024,1.414
3.646,5.027,1.419
3.635,5.056,1.416
3.633,5.044,1.416
3.635,5.056,1.404
3.655,5.02,1.419
3.639,5.042,1.419
3.626,5.032,1.415
3.634,5.049,1.401
3.639,5.029,1.414
3.634,5.036,1.414
3.604,5.083,1.416
3.632,5.046,1.416
3.642,5.045,1.414
3.626,5.138,1.418
3.63,5.049,1.415
3.612,5.08,1.415
3.649,5.045,1.414
3.631,5.039,1.418
3.632,5.041,1.419
3.648,5.045,1.419
3.596,5.105,1.418
3.643,5.063,1.41
3.645,5.037,1.411
3.635,5.041,1.408
3.63,5.045,1.415
3.641,5.051,1.417
3.64,5.052,1.419
3.652,5.036,1.412
