x,y
-0.902,0.122
-0.912,0.103
-0.848,0.057
-0.852,0.056
-0.852,0.045
-0.909,0.102
-0.88,0.112
-0.888,0.105
-0.846,0.041
-0.831,0.032
-0.858,0.058
-0.913,0.103
-0.918,0.086
-0.892,0.06
-0.861,0.055
-0.82,0.04
-0.913,0.123
-0.877,0.08
-0.915,0.094
-0.924,0.082
-0.914,0.078
-0.861,0.067
-0.912,0.103
-0.912,0.072
-0.857,0.064
-0.905,0.091
-0.886,0.085
-0.935,0.082
-0.89,0.068
-0.915,0.066
-0.822,0.055
-0.902,0.086
-0.931,0.109
-0.897,0.071
-0.902,0.095
-0.912,0.086
-0.892,0.107
-0.868,0.095
-0.896,0.106
-0.897,0.101
-0.849,0.033
-0.918,0.1
-0.909,0.064
-0.896,0.067
-0.903,0.071
-0.888,0.091
-0.872,0.113
-0.895,0.075
-0.909,0.097
-0.882,0.091
