x,y,theta
3.507,4.297,1.407
3.491,4.312,1.396
3.465,4.374,1.407
3.471,4.376,1.408
3.471,4.382,1.405
3.499,4.321,1.412
3.486,4.335,1.399
3.489,4.33,1.399
3.457,4.387,1.403
3.47,4.378,1.409
3.475,4.365,1.393
3.483,4.321,1.405
3.497,4.307,1.407
3.487,4.314,1.397
3.474,4.359,1.405
3.484,4.401,1.385
3.52,4.3,1.412
3.474,4.332,1.396
3.496,4.323,1.398
3.483,4.325,1.39
3.494,4.322,1.393
3.476,4.376,1.403
3.508,4.32,1.402
3.477,4.339,1.403
3.472,4.377,1.397
3.501,4.325,1.397
3.49,4.329,1.399
3.487,4.308,1.405
3.474,4.337,1.404
3.492,4.332,1.41
3.471,4.392,1.413
3.503,4.328,1.409
3.496,4.312,1.409
3.49,4.336,1.4
3.49,4.328,1.396
3.477,4.333,1.411
3.494,4.315,1.397
3.488,4.344,1.385
3.491,4.324,1.413
3.491,4.32,1.397
3.46,4.394,1.414
3.492,4.318,1.394
3.476,4.341,1.404
3.483,4.334,1.405
3.475,4.334,1.402
3.497,4.32,1.407
3.499,4.322,1.399
3.475,4.332,1.405
3.491,4.296,1.4
3.478,4.322,1.409
