Marker position ,,,Robot position ,,,Map correction 
x,height,y,x,y,theta,percent
-0.307,0.359,0.121,3.622,4.926,1.366,82.909
-0.527,0.359,0.068,3.541,4.707,1.417,82.461
-0.517,0.359,0.061,3.545,4.714,1.42,82.63
-0.524,0.359,0.069,3.531,4.705,1.417,81.442
-0.507,0.359,0.062,3.532,4.716,1.417,82.585
-0.516,0.359,0.064,3.54,4.711,1.422,82.485
-0.49,0.359,0.067,3.529,4.74,1.419,80.669
-0.517,0.359,0.06,3.532,4.706,1.423,82.827
-0.523,0.358,0.071,3.539,4.713,1.419,81.222
-0.502,0.359,0.085,3.544,4.702,1.416,81.879
-0.507,0.358,0.066,3.533,4.705,1.416,81.62
-0.492,0.359,0.078,3.539,4.716,1.418,80.968
-0.52,0.358,0.092,3.537,4.712,1.418,82.119
-0.521,0.358,0.08,3.547,4.704,1.419,81.295
-0.478,0.359,0.056,3.534,4.738,1.418,80.156
-0.479,0.359,0.072,3.533,4.718,1.417,80.323
-0.509,0.359,0.063,3.539,4.713,1.418,83.017
-0.511,0.359,0.039,3.533,4.714,1.418,81.126
-0.531,0.358,0.078,3.544,4.709,1.421,82.209
-0.49,0.359,0.046,3.526,4.719,1.417,81.818
-0.497,0.359,0.064,3.534,4.713,1.42,81.899
-0.495,0.359,0.06,3.536,4.708,1.418,80.145
-0.5,0.358,0.068,3.545,4.711,1.42,79.79
-0.52,0.359,0.08,3.538,4.713,1.418,81.069
-0.514,0.359,0.065,3.527,4.709,1.421,81.316
-0.509,0.359,0.052,3.53,4.712,1.418,82.985
-0.529,0.359,0.071,3.536,4.704,1.416,82.594
-0.529,0.359,0.059,3.538,4.707,1.42,82.412
-0.526,0.359,0.072,3.537,4.708,1.417,82.471
-0.505,0.359,0.043,3.531,4.713,1.416,82.268
-0.529,0.358,0.089,3.533,4.707,1.419,81.972
-0.514,0.359,0.068,3.531,4.702,1.418,81.006
-0.523,0.358,0.091,3.541,4.706,1.418,82.063
-0.509,0.359,0.057,3.527,4.709,1.416,81.58
-0.512,0.359,0.078,3.529,4.716,1.417,81.027
-0.495,0.359,0.039,3.522,4.727,1.419,82.225
-0.529,0.359,0.068,3.531,4.711,1.419,80.806
-0.488,0.359,0.061,3.529,4.712,1.419,81.436
-0.483,0.358,0.088,3.572,4.699,1.491,78.771
-0.506,0.359,0.064,3.532,4.718,1.416,81.075
-0.506,0.359,0.072,3.539,4.709,1.42,82.359
-0.512,0.359,0.055,3.542,4.706,1.421,82.133
-0.509,0.359,0.063,3.534,4.711,1.421,82.664
-0.524,0.359,0.057,3.536,4.713,1.417,82.454
-0.51,0.359,0.04,3.529,4.713,1.421,82.546
-0.473,0.359,0.039,3.522,4.719,1.42,80.868
-0.518,0.358,0.061,3.532,4.708,1.42,80.157
-0.506,0.359,0.072,3.541,4.707,1.42,80.134
-0.524,0.359,0.067,3.537,4.706,1.421,82.976
-0.514,0.358,0.084,3.536,4.712,1.419,81.808
-0.524,0.359,0.078,3.54,4.705,1.42,82.626
