Marker position ,,,Robot position ,,,Map correction 
x,height,y,x,y,theta,percent
-0.996,0.356,0.324,3.74,4.182,1.519,80.443
-1.016,0.357,0.336,3.736,4.185,1.44,80.209
-0.985,0.357,0.318,3.722,4.188,1.446,79.257
-0.976,0.356,0.312,3.71,4.197,1.443,79.789
-0.985,0.356,0.341,3.717,4.182,1.442,79.752
-0.989,0.356,0.328,3.719,4.195,1.448,78.192
-0.986,0.356,0.305,3.711,4.179,1.446,80.111
-0.971,0.357,0.37,3.757,4.187,1.519,79.116
-0.992,0.357,0.329,3.709,4.19,1.444,81.008
-0.993,0.356,0.321,3.733,4.183,1.448,79.656
-0.972,0.356,0.317,3.723,4.189,1.443,79.815
-0.995,0.357,0.332,3.732,4.201,1.442,80.879
-0.989,0.356,0.331,3.71,4.175,1.447,79.412
-0.972,0.357,0.32,3.727,4.211,1.447,80.38
-0.998,0.356,0.32,3.713,4.21,1.445,78.806
-0.993,0.356,0.329,3.733,4.186,1.447,80.545
-0.958,0.356,0.312,3.712,4.191,1.444,78.269
-0.991,0.356,0.311,3.722,4.194,1.444,80.161
-0.972,0.356,0.323,3.713,4.192,1.445,79.877
-0.987,0.356,0.303,3.716,4.177,1.449,80.148
-0.986,0.356,0.371,3.758,4.186,1.517,80.857
-0.975,0.357,0.379,3.767,4.201,1.516,81.364
-0.981,0.356,0.381,3.764,4.184,1.515,77.831
-1.003,0.356,0.31,3.718,4.196,1.447,80.647
-0.976,0.357,0.323,3.734,4.194,1.444,80.025
-0.983,0.357,0.295,3.708,4.192,1.442,80.421
-0.986,0.356,0.316,3.705,4.188,1.448,78.756
-0.983,0.356,0.311,3.717,4.195,1.448,79.815
-0.973,0.357,0.37,3.763,4.185,1.515,80.917
-0.977,0.357,0.364,3.753,4.193,1.517,78.206
-0.985,0.357,0.373,3.755,4.201,1.52,81.603
-0.993,0.356,0.32,3.704,4.195,1.448,80.701
-0.988,0.356,0.326,3.741,4.179,1.446,79.829
-0.986,0.356,0.324,3.723,4.196,1.446,80.556
-0.984,0.356,0.312,3.707,4.204,1.443,80.209
-0.966,0.356,0.308,3.719,4.196,1.447,80.208
-0.993,0.356,0.329,3.723,4.189,1.445,80.645
-0.979,0.356,0.339,3.721,4.195,1.445,79.901
-0.983,0.356,0.337,3.723,4.204,1.437,79.385
-0.992,0.356,0.318,3.724,4.197,1.447,79.642
-0.973,0.357,0.345,3.748,4.197,1.521,80.961
-0.983,0.357,0.373,3.76,4.179,1.517,78.881
-0.967,0.356,0.325,3.72,4.2,1.445,79.071
-0.976,0.356,0.304,3.713,4.21,1.444,79.877
-0.965,0.356,0.309,3.707,4.208,1.441,79.914
-1,0.356,0.338,3.716,4.191,1.444,80.926
-0.992,0.356,0.344,3.733,4.186,1.446,80.619
-0.961,0.357,0.337,3.717,4.192,1.445,78.853
-0.978,0.357,0.328,3.718,4.187,1.446,77.655
-0.998,0.356,0.326,3.731,4.182,1.446,80.586
-0.967,0.357,0.304,3.713,4.2,1.448,79.494
