x,y
-1.016,0.336
-0.985,0.318
-0.976,0.312
-0.985,0.341
-0.989,0.328
-0.986,0.305
-0.971,0.37
-0.992,0.329
-0.993,0.321
-0.972,0.317
-0.995,0.332
-0.989,0.331
-0.972,0.32
-0.998,0.32
-0.993,0.329
-0.958,0.312
-0.991,0.311
-0.972,0.323
-0.987,0.303
-0.986,0.371
-0.975,0.379
-0.981,0.381
-1.003,0.31
-0.976,0.323
-0.983,0.295
-0.986,0.316
-0.983,0.311
-0.973,0.37
-0.977,0.364
-0.985,0.373
-0.993,0.32
-0.988,0.326
-0.986,0.324
-0.984,0.312
-0.966,0.308
-0.993,0.329
-0.979,0.339
-0.983,0.337
-0.992,0.318
-0.973,0.345
-0.983,0.373
-0.967,0.325
-0.976,0.304
-0.965,0.309
-1,0.338
-0.992,0.344
-0.961,0.337
-0.978,0.328
-0.998,0.326
-0.967,0.304
