x,y,theta
3.716,4.147,1.315
3.683,4.154,1.272
3.699,4.151,1.268
3.695,4.157,1.269
3.688,4.173,1.271
3.696,4.153,1.271
3.727,4.146,1.34
3.699,4.158,1.268
3.73,4.144,1.335
3.705,4.161,1.271
3.686,4.174,1.267
3.699,4.162,1.27
3.735,4.146,1.34
3.74,4.151,1.345
3.737,4.149,1.342
3.737,4.144,1.343
3.735,4.165,1.339
3.694,4.162,1.273
3.71,4.168,1.268
3.733,4.149,1.342
3.743,4.15,1.343
3.73,4.149,1.34
3.729,4.147,1.343
3.737,4.15,1.341
3.736,4.143,1.34
3.705,4.156,1.272
3.704,4.15,1.27
3.708,4.153,1.271
3.691,4.163,1.27
3.69,4.164,1.27
3.736,4.149,1.335
3.695,4.158,1.272
3.693,4.17,1.266
3.729,4.145,1.343
3.735,4.142,1.341
3.731,4.152,1.34
3.677,4.173,1.267
3.747,4.155,1.344
3.725,4.142,1.345
3.736,4.163,1.347
3.688,4.157,1.268
3.691,4.159,1.271
3.698,4.162,1.273
3.733,4.152,1.343
3.738,4.134,1.344
3.714,4.147,1.265
3.699,4.17,1.271
3.707,4.158,1.269
3.702,4.165,1.272
